Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Moncton01,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton01.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton02,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton02.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton03,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton03.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton04,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton04.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton05,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton05.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton06,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton06.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton07,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton07.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton08,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton08.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton09,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton09.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton10,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton10.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton11,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton11.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton12,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton12.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton13,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton13.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton14,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton14.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton15,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton15.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Moncton16,https://github.com/iMaces/CoM/raw/main/ATV/pictures/Moncton16.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
